maker_id,maker_name,country,century,N_Sales,Span_Years,First_Sale,Last_Sale,Real_CAGR_%,Is_Dead
970,"Voller, William, Charles & Alfred",Central Europe,19,22,36,1990,2026,0.6785880605288952,True
893,"Moritz, Alfred",Central Europe,19,28,26,1984,2010,0.5813137771689902,True
270,"Heinicke, Mathias",Central Europe,19,41,41,1984,2025,0.5594461967701081,True
1107,"Homolka, Ferdinand August Vincenz",Central Europe,19,16,35,1982,2017,0.5594049470834195,True
11195,"Pilát, Paul (Pál) I",Central Europe,19,32,41,1983,2024,0.3468524083468205,True
956,"Szepessy, Béla",Central Europe,19,63,40,1983,2023,0.32883900984836956,True
1634,"Durrschmidt, Wilhelm August",Central Europe,19,14,24,1991,2015,0.2821952914153325,True
1298,"Dvorak, Jan Baptista",Central Europe,19,16,34,1991,2025,0.25221537929231985,True
266,"Heberlein, Heinrich Theodore",Central Europe,19,65,39,1984,2023,0.11550063957055379,True
1488,"Strobl, Michael",Central Europe,19,22,39,1985,2024,0.07729853164777367,True
1096,"Gartner, Eugen",Central Europe,19,17,39,1985,2024,-0.3699503328875253,True
1449,"Glaesel, Ludwig I",Central Europe,19,15,29,1983,2012,-0.39919599524433913,True
12533,"Schmidt, Ernst Reinhold",Central Europe,19,81,42,1983,2025,-0.4008005585733221,True
794,"Viertel, Holm",Central Europe,19,12,29,1984,2013,-0.6017910400296644,True
971,"Wolff, Brothers",Central Europe,19,153,30,1982,2012,-0.8779681045328003,True
1496,Neuner & Hornsteiner,Central Europe,19,180,42,1983,2025,-1.0570808671973686,True
829,"Winterling, Georg",Central Europe,19,40,41,1985,2026,-1.2088665361493445,True
538,"Pfretzschner, G.A.",Central Europe,19,11,25,1990,2015,-1.5424145389236532,True
1637,"Hammig, Wilhelm Hermann",Central Europe,19,15,38,1987,2025,-3.626705465044966,True
1818,"Drozen, Frantisek Xavier",Central Europe,20,10,34,1984,2018,3.3213474882739513,True
757,"Tóth, Johannes (János)",Central Europe,20,21,38,1983,2021,3.3127487430664404,True
337,"Koch, Franz Joseph",Central Europe,20,19,39,1986,2025,2.9952014895137102,True
628,"Roth, Ernst Heinrich",Central Europe,20,350,42,1983,2025,2.066708839827136,True
1633,"Duerer, Wilhelm",Central Europe,20,12,20,1984,2004,1.9990368070473608,True
1215,"Ficker, Gustav August",Central Europe,20,15,36,1988,2024,1.805696948954405,True
1551,"Spidlen, Premysl Otakar",Central Europe,20,14,41,1984,2025,1.6724009739483625,True
8303,"Juzek, Jan (John)",Central Europe,20,93,41,1980,2021,1.4730953581604034,True
1000,"Dvorak, Carolus Joseph",Central Europe,20,10,27,1996,2023,1.4639806696465252,True
456,"Moennig, Fritz",Central Europe,20,29,38,1982,2020,1.4608616455857204,True
704,"Spiegel, János",Central Europe,20,17,36,1987,2023,1.2247082725777236,True
1482,"Möller, Max Sr.",Central Europe,20,21,40,1985,2025,0.724121847634418,True
1531,"Knorr, Paul",Central Europe,20,44,37,1988,2025,0.6294627752863713,True
917,"Hertel, Anton",Central Europe,20,11,17,1983,2000,0.5746149773248943,True
1632,"Voigt, Werner August Theodor",Central Europe,20,12,37,1988,2025,0.42112147924173726,True
10900,"Paulus, Albin Ludwig",Central Europe,20,19,28,1985,2013,0.3114281912992789,True
837,"Zach, Carl",Central Europe,20,12,28,1997,2025,-0.49461563541957076,True
